rate,title,content,review_date,Reviews,Sentiment
5,Good product at reasonable price,"Everything was explained in detail, price point was good. Luckily didn’t need the service ",2024-10-28,"Good product at reasonable price. Everything was explained in detail, price point was good. Luckily didn’t need the service ",POSITIVE
4,Travel insurance for Vietnam tour,I had to buy travel insurance to go on a NatGeo tour of Vietnam. I never had to use it but it gave me peace of mind knowing I had it. The policy was easy to set up and the representative I spoke with on the phone was friendly and helpful. ,2024-12-19,Travel insurance for Vietnam tour. I had to buy travel insurance to go on a NatGeo tour of Vietnam. I never had to use it but it gave me peace of mind knowing I had it. The policy was easy to set up and the representative I spoke with on the phone was friendly and helpful. ,POSITIVE
5,We always hoped we would never need to use it but very thankful we had it when we had to leave our cruise early because of unexpected death in family. ,Our travel agent did most of the uploading of documents for us. I would say the communication between Travel Insured and her and us was very good. ,2024-11-01,We always hoped we would never need to use it but very thankful we had it when we had to leave our cruise early because of unexpected death in family. . Our travel agent did most of the uploading of documents for us. I would say the communication between Travel Insured and her and us was very good. ,POSITIVE
1,Doesn't cover missed connection because of missing luggage through customs checkpoint.,"I have purchased Travel Insurance with TravelInsured for many years and travel 3 to 5 times a year, but going forward, I will look elsewhere for coverage.I was on a flight home that had two stopovers.  Apparently my baggage was not transferred between flight #1 and #2.   When I arrived internationally at LAX, I was delayed waiting for my luggage to appear so that I could take it through customs.  My luggage was not there, and as a result I missed my connecting flight and was booked on another flight about 20 hrs later.   After a 15 hour flight from Singapore, I called the customer service and was told I had a $200 limit, so I booked a hotel room.  Oh well, because I missed my connection not because of a flight delay, my claim was denied.   Since my luggage was found 6 hrs later, and then put on my same rebooked flight, there was no delay.   Trip interruption is only paid on a flight delay, not a luggage delay.   Having this insurance is worthless.",2025-01-17,"Doesn't cover missed connection because of missing luggage through customs checkpoint.. I have purchased Travel Insurance with TravelInsured for many years and travel 3 to 5 times a year, but going forward, I will look elsewhere for coverage.I was on a flight home that had two stopovers.  Apparently my baggage was not transferred between flight #1 and #2.   When I arrived internationally at LAX, I was delayed waiting for my luggage to appear so that I could take it through customs.  My luggage was not there, and as a result I missed my connecting flight and was booked on another flight about 20 hrs later.   After a 15 hour flight from Singapore, I called the customer service and was told I had a $200 limit, so I booked a hotel room.  Oh well, because I missed my connection not because of a flight delay, my claim was denied.   Since my luggage was found 6 hrs later, and then put on my same rebooked flight, there was no delay.   Trip interruption is only paid on a flight delay, not a luggage delay.   Having this insurance is worthless.",NEGATIVE
1,I can’t log in to my acct to make…,I can’t log in to my acct to make changes and when I could it was showing no plans that I had purchased. The online experience has been frustrating. ,2025-02-03,I can’t log in to my acct to make changes and when I could it was showing no plans that I had purchased. The online experience has been frustrating. ,NEGATIVE
5,Did not need to use the insurance…,Did not need to use the insurance thankfully so no problems ,2024-11-26,Did not need to use the insurance thankfully so no problems ,NEGATIVE
5,Pleased with travelers ,We’ve only had to talk to someone on the phone. Everyone we have talked with has been very pleasant and helpful. ,2025-02-05,Pleased with travelers . We’ve only had to talk to someone on the phone. Everyone we have talked with has been very pleasant and helpful. ,POSITIVE
4,I’ve used this insurance for quite a…,"I’ve used this insurance for quite a few trips . they’ve been great , provided peace of mind for me . However , I bought a pair of sunglasses right before the trip   for the trip , they were either stolen or lost , I put a claim in and I’m waiting for further communication. Otherwise , they’ve been great , and When I made my claim, they were very helpful & supportive.",2024-12-25,"I’ve used this insurance for quite a few trips . they’ve been great , provided peace of mind for me . However , I bought a pair of sunglasses right before the trip   for the trip , they were either stolen or lost , I put a claim in and I’m waiting for further communication. Otherwise , they’ve been great , and When I made my claim, they were very helpful & supportive.",POSITIVE
5,It was an insurance product and the 2nd…,It was an insurance product and the 2nd time I have used your company when traveling to Europe.  I did not have to exercise the use of this insurance which is a blessing but knowing that I had your insurance in case of an emergency took a bit of stress away from me and my wife.,2024-12-05,It was an insurance product and the 2nd time I have used your company when traveling to Europe.  I did not have to exercise the use of this insurance which is a blessing but knowing that I had your insurance in case of an emergency took a bit of stress away from me and my wife.,NEGATIVE
2,I’ve talked to three different…,I’ve talked to three different representatives and provided them the information they needed.  They advised me that someone in a higher department would contact me. No one has called. This is NOT good customer service. I’ve provided 25 pages of documentation and walked your representative through the appropriate pages,2025-01-28,I’ve talked to three different representatives and provided them the information they needed.  They advised me that someone in a higher department would contact me. No one has called. This is NOT good customer service. I’ve provided 25 pages of documentation and walked your representative through the appropriate pages,NEGATIVE
5,no problems,"no problems.  thank God we didn't need it, but our travel partner did and they returned her money promptly",2024-11-09,"no problems.  thank God we didn't need it, but our travel partner did and they returned her money promptly",NEGATIVE
1,My claim has still not been finalized dragging their feet.,"I sent in a claim from Doctors etc.,  I have still not received finalization from them or a return of monieswhich I paid for for my medical bills.Please check the matter and reimburse.Taking a very long time to finalize matter.Please co operate with me.",2024-11-13,"My claim has still not been finalized dragging their feet.. I sent in a claim from Doctors etc.,  I have still not received finalization from them or a return of monieswhich I paid for for my medical bills.Please check the matter and reimburse.Taking a very long time to finalize matter.Please co operate with me.",NEGATIVE
5,Great experience,"I utilized travel insurance through your company and won't hesitate to recommend or use your services again.  I ended up having to use the medical concierge service as well as the reimbursement process due to illness and items being stolen during my trip.  It was very stressful, but big shout out to the agents that helped me get a medical appointment, and then quickly worked with me when the dr didn't show and I had to reschedule again.  The website claim process is not as user friendly as it could be, but once I got everything uploaded it was processed quickly and I had my claims payment in my hand four weeks later.  I won't hesitate to use again for the peace of mind.  Yri and Amy were great to work with!",2024-10-27,"Great experience. I utilized travel insurance through your company and won't hesitate to recommend or use your services again.  I ended up having to use the medical concierge service as well as the reimbursement process due to illness and items being stolen during my trip.  It was very stressful, but big shout out to the agents that helped me get a medical appointment, and then quickly worked with me when the dr didn't show and I had to reschedule again.  The website claim process is not as user friendly as it could be, but once I got everything uploaded it was processed quickly and I had my claims payment in my hand four weeks later.  I won't hesitate to use again for the peace of mind.  Yri and Amy were great to work with!",POSITIVE
5,Ease of purchasing,"Registration and purchase was easy. Fortunately I didn't have to use my policy, but I'll likely be a repeat customer when I have the opportunity to travel internationally.",2024-10-30,"Ease of purchasing. Registration and purchase was easy. Fortunately I didn't have to use my policy, but I'll likely be a repeat customer when I have the opportunity to travel internationally.",NEGATIVE
5,Easy to use website that transitions…,"Easy to use website that transitions from USAA, our insurance carrier that partners with your company. And, I had a question about my wires, sent in an email, and it was answered promptly z ",2024-11-18,"Easy to use website that transitions from USAA, our insurance carrier that partners with your company. And, I had a question about my wires, sent in an email, and it was answered promptly z ",NEGATIVE
5,Travel Insurance Policy,"Purchasing this policy gave me several options to compare quickly and thoroughly.  Fortunately, I didn't need to make a claim and would use this service again.",2024-10-28,"Travel Insurance Policy. Purchasing this policy gave me several options to compare quickly and thoroughly.  Fortunately, I didn't need to make a claim and would use this service again.",NEGATIVE
5,It's always a pleasure to deal with Dan…,It's always a pleasure to deal with Dan Drennan in buying travel insurance.,2024-11-12,It's always a pleasure to deal with Dan Drennan in buying travel insurance.,POSITIVE
5,The claims process was straightforward…,The claims process was straightforward and we were reimbursed promptly. ,2024-11-25,The claims process was straightforward and we were reimbursed promptly. ,NEGATIVE
5,The process was smooth,The process was smooth. I called answered a few questions and was quoted a policy. Honestly when I travel I do ask others about their travel insurance and I am extremely grateful to have travel insured as my insurance company. Thank you,2024-12-13,The process was smooth. I called answered a few questions and was quoted a policy. Honestly when I travel I do ask others about their travel insurance and I am extremely grateful to have travel insured as my insurance company. Thank you,POSITIVE
5,Timely completion of the Insurance…,"Timely completion of the Insurance increase....on a side note, not real fond of having to add, in the notes section, to also increase the coverage for the companion traveler",2024-11-25,"Timely completion of the Insurance increase....on a side note, not real fond of having to add, in the notes section, to also increase the coverage for the companion traveler",POSITIVE
5,Excellent service,Excellent service. Would definitely use again. Took care of everything for me when I was injured on vacation. ,2024-11-11,Excellent service. Would definitely use again. Took care of everything for me when I was injured on vacation. ,POSITIVE
5,good service,good service.  you have some really good people working for you,2025-02-06,good service.  you have some really good people working for you,POSITIVE
5,Seamless easy to subscribe service,Seamless easy to subscribe service. Good services for the cost. ,2024-11-22,Seamless easy to subscribe service. Good services for the cost. ,POSITIVE
5,Coverage in the Third World ,"That it was a great trip without incident, and I had the policy in place in case anything went wrong. ",2024-10-25,"Coverage in the Third World . That it was a great trip without incident, and I had the policy in place in case anything went wrong. ",NEGATIVE
5,Obtaining coverage was quick and easy,Obtaining coverage was quick and easy.  A quick phone call was all it took.We have used Travel Insured Intl twice this year and thankfully did not need to use the coverage but was at ease knowing it was available.We have referred friends to Travel Insured.,2024-11-25,Obtaining coverage was quick and easy.  A quick phone call was all it took.We have used Travel Insured Intl twice this year and thankfully did not need to use the coverage but was at ease knowing it was available.We have referred friends to Travel Insured.,NEGATIVE
5,They have a great policy from the…,"They have a great policy from the insurance companies ,it was  very helpful to me ,i will recommend that travel company any time to my friends. Good job ",2024-11-22,"They have a great policy from the insurance companies ,it was  very helpful to me ,i will recommend that travel company any time to my friends. Good job ",POSITIVE
1,I purchased insurance with this…,"I purchased insurance with this company, I won do it again, since I had to use it because I had to interrupt my trip due to illness and they denied my case claiming that this type of illness was not covered. Be very careful with this company since they do not covers all diseases. You are just wasting your money!!!",2024-11-27,"I purchased insurance with this company, I won do it again, since I had to use it because I had to interrupt my trip due to illness and they denied my case claiming that this type of illness was not covered. Be very careful with this company since they do not covers all diseases. You are just wasting your money!!!",NEGATIVE
5,Security for a great price,"Never used your service but, it's great to have the comfort and security your company offers in case your services are needed!  I will never travel without travel insurance.  You never know if something happens and the peace of mind your company offers is worth its weight in gold.",2024-11-02,"Security for a great price. Never used your service but, it's great to have the comfort and security your company offers in case your services are needed!  I will never travel without travel insurance.  You never know if something happens and the peace of mind your company offers is worth its weight in gold.",NEGATIVE
5,Simple and Easy ,Simple and easy to apply for and purchase.Just enter the travel dates and total cost of trip. The options for policies are immediately available. Pick your choice and download immediately after purchase.,2024-12-04,Simple and easy to apply for and purchase.Just enter the travel dates and total cost of trip. The options for policies are immediately available. Pick your choice and download immediately after purchase.,NEGATIVE
1,Still going through all the red tape…,Still going through all the red tape you put us through. They have to go through our regular insurance company the process and they have to give us a rejected claim and then you all will deal with it. That sucks,2024-11-17,Still going through all the red tape you put us through. They have to go through our regular insurance company the process and they have to give us a rejected claim and then you all will deal with it. That sucks,NEGATIVE
5,Excellent Choice for Travel,Prompt response. The best available insurance for an economical cost.  Always friendly and helpful.  I have been using Travel Insured International for years for my travel.  I would not even consider another agency.,2024-11-26,Excellent Choice for Travel. Prompt response. The best available insurance for an economical cost.  Always friendly and helpful.  I have been using Travel Insured International for years for my travel.  I would not even consider another agency.,POSITIVE
5,My flight was delayed for a day due to…,My flight was delayed for a day due to fog at destination and I had to get a hotel. I filed a claim on line for reimbursement. Ot was super easy and fast! I will definitely use them again for all my travel.,2024-12-16,My flight was delayed for a day due to fog at destination and I had to get a hotel. I filed a claim on line for reimbursement. Ot was super easy and fast! I will definitely use them again for all my travel.,NEGATIVE
5,Wonderful options and great customer service! ,As a travel advisor I really appreciate that my clients have options for their travel insurance needs. 5 stars and great customer service. ,2024-12-15,Wonderful options and great customer service! . As a travel advisor I really appreciate that my clients have options for their travel insurance needs. 5 stars and great customer service. ,POSITIVE
5,Thank goodness no need to use the…,"Thank goodness no need to use the coverage…. The security of having insurance considering our age and my husband ‘s health situation was most comforting..I hope and pray we will continue traveling…no doubt, will turn to you..",2024-11-15,"Thank goodness no need to use the coverage…. The security of having insurance considering our age and my husband ‘s health situation was most comforting..I hope and pray we will continue traveling…no doubt, will turn to you..",NEGATIVE
5,Solid travel insurance information ,Being unfamiliar with travel insurance the employee had to start at the very beginning. Extremely helpful and knowledgeable. Walked us through all options and what would be best option for us. ,2024-11-21,Solid travel insurance information . Being unfamiliar with travel insurance the employee had to start at the very beginning. Extremely helpful and knowledgeable. Walked us through all options and what would be best option for us. ,POSITIVE
5,Great Company ,"Working with Bettye Ridley was a delight.  She was thorough, knowledgeable and pleasant to deal with.  Excellent customer service.  Even though we didn’t need to use the travel insurance (which was a good thing), I felt very secure having the coverage. I will use your company in the future. ",2024-10-23,"Great Company . Working with Bettye Ridley was a delight.  She was thorough, knowledgeable and pleasant to deal with.  Excellent customer service.  Even though we didn’t need to use the travel insurance (which was a good thing), I felt very secure having the coverage. I will use your company in the future. ",POSITIVE
5,Personal service,I appreciated talking to a customer service representative.  Very informative. ,2025-02-04,Personal service. I appreciated talking to a customer service representative.  Very informative. ,POSITIVE
5,Knowing I have travel insurance which meets my needs,Knowing I have travel insurance which covered my needs felt comforting and at ease during my travels.  The cost and coverage is great and met my needs.,2024-10-30,Knowing I have travel insurance which meets my needs. Knowing I have travel insurance which covered my needs felt comforting and at ease during my travels.  The cost and coverage is great and met my needs.,POSITIVE
5,Great travel insurance I make claim and…,Great travel insurance I make claim and process was easy and they pay my claim fast. Don't waste you time looking for another travel insurance company I recommend this company for all you traveling needs,2024-11-21,Great travel insurance I make claim and process was easy and they pay my claim fast. Don't waste you time looking for another travel insurance company I recommend this company for all you traveling needs,POSITIVE
5,To the rescue once again.,I had an injury on our cruise that involved a lot of steps and people.  They sent me all the info I would need to start the process on my claim.  Answered all my questions for me.  I used this company on another trip and had to go to ship's doctor for an ear issue.  Sent in my info and within 2 weeks had my refund.,2024-12-26,To the rescue once again.. I had an injury on our cruise that involved a lot of steps and people.  They sent me all the info I would need to start the process on my claim.  Answered all my questions for me.  I used this company on another trip and had to go to ship's doctor for an ear issue.  Sent in my info and within 2 weeks had my refund.,NEGATIVE
5,Very helpful ,Very helpful in answering questions and explaining the terms the good and the bad. I will be using this company from now on out for any travel insurance,2024-10-30,Very helpful in answering questions and explaining the terms the good and the bad. I will be using this company from now on out for any travel insurance,NEGATIVE
5,Good purchase and claim experience,"Recently filed a claim with this company.  Submitted all the information online.  Everything was approved in about 30 days and a check mailed out immediately.  The 5 star rating is based on the original price, options and the simple claims process.  My only complaint is that once everything was uploaded to the site, the status changed to ""documents received"" (or something similar) and never changed.  At about day 28 I emailed to get an update and got a generic response telling me that processing takes 30 days.  At 30 days, it was processed and approved, but I wish there would have been some kind of status update in the interim.  My claim was relatively small, but I would have been rather nervous during that 30 days if the amount would have been significant.  With that said, I'm still very happy with the company and wouldn't hesitate to use them again.",2024-11-01,"Good purchase and claim experience. Recently filed a claim with this company.  Submitted all the information online.  Everything was approved in about 30 days and a check mailed out immediately.  The 5 star rating is based on the original price, options and the simple claims process.  My only complaint is that once everything was uploaded to the site, the status changed to ""documents received"" (or something similar) and never changed.  At about day 28 I emailed to get an update and got a generic response telling me that processing takes 30 days.  At 30 days, it was processed and approved, but I wish there would have been some kind of status update in the interim.  My claim was relatively small, but I would have been rather nervous during that 30 days if the amount would have been significant.  With that said, I'm still very happy with the company and wouldn't hesitate to use them again.",NEGATIVE
5,The process for obtaining travel,The process for obtaining travel. ins. was easy.The cost of the ins. was reasonableThe ins. coverage was adequeat for my needsd.  No  attempt to over insure was made.,2024-11-08,The process for obtaining travel. ins. was easy.The cost of the ins. was reasonableThe ins. coverage was adequeat for my needsd.  No  attempt to over insure was made.,NEGATIVE
5,The sales representative was super…,"The sales representative was super friendly, knowledgeable and guided me through the process painlessly. I did not need to utilize the benefits, but was at ease on my trip knowing that it was there.",2024-11-17,"The sales representative was super friendly, knowledgeable and guided me through the process painlessly. I did not need to utilize the benefits, but was at ease on my trip knowing that it was there.",POSITIVE
4,I was able to file a successful travel…,"I was able to file a successful travel delay claim. The claims process took 60 days. I was asked for more information and documents three times, and each time, I responded. I recommend you be very specific about how much you want in your claim. The claims process did not seem to ask that question. The claim total paid was around USD $400. Like most insurance companies, they ask many questions to increase the chance that you will give up. Don't give up. ",2024-06-09,"I was able to file a successful travel delay claim. The claims process took 60 days. I was asked for more information and documents three times, and each time, I responded. I recommend you be very specific about how much you want in your claim. The claims process did not seem to ask that question. The claim total paid was around USD $400. Like most insurance companies, they ask many questions to increase the chance that you will give up. Don't give up. ",POSITIVE
5,Devin(?) spent alot of time explaining…,Devin(?) spent alot of time explaining the program,2024-10-27,Devin(?) spent alot of time explaining the program,NEGATIVE
5,I always book with Travel Insured…,I always book with Travel Insured International for my cruises. They are so very very helpful when you call to book the appropriate plan that suits you best. The coverage is excellent which people especially on Medicare should consider because Medicare doesn’t cover you outside the United States. I highly recommend Travel Insured International and will continue doing business with them. ,2024-11-01,I always book with Travel Insured International for my cruises. They are so very very helpful when you call to book the appropriate plan that suits you best. The coverage is excellent which people especially on Medicare should consider because Medicare doesn’t cover you outside the United States. I highly recommend Travel Insured International and will continue doing business with them. ,POSITIVE
5,Easy transaction friendly service…,Easy transaction friendly service reasonable price. Thank heaven I didn’t need the insurance but it’s comforting to know it’s there ,2024-11-27,Easy transaction friendly service reasonable price. Thank heaven I didn’t need the insurance but it’s comforting to know it’s there ,POSITIVE
5,Easy to deal with great customer…,Easy to deal with great customer service.,2024-11-06,Easy to deal with great customer service.,POSITIVE
4,It was simple,"It was simple to get the coverage and the customer rep was very patient and helpful,   The cost was not excessive.    The  only complaint was repeated emails about adding more to the policy.    ",2024-11-13,"It was simple to get the coverage and the customer rep was very patient and helpful,   The cost was not excessive.    The  only complaint was repeated emails about adding more to the policy.    ",NEGATIVE
5,Peace of mind   ,Peace of mind   In case it was necessary I had help.  Thankfully I didn’t need to use it   But it was in place.  So until next time.  Thank you,2025-01-08,Peace of mind   In case it was necessary I had help.  Thankfully I didn’t need to use it   But it was in place.  So until next time.  Thank you,POSITIVE
5,Great travel insurance,The travel insurance was easy to purchase and affordable. Options were clearly explained and I felt comfortable that we had plenty of coverage for our trip.,2024-10-24,Great travel insurance. The travel insurance was easy to purchase and affordable. Options were clearly explained and I felt comfortable that we had plenty of coverage for our trip.,POSITIVE
1,Virtually impossible to file a claim,"Virtually impossible to file a claim, everything leads to a dead end and ultimately rejection of the claim, including even when following submission instructions from the company's customer service rep.",2024-12-01,"Virtually impossible to file a claim, everything leads to a dead end and ultimately rejection of the claim, including even when following submission instructions from the company's customer service rep.",NEGATIVE
5,Coverage was well-explained in detail,"Coverage was well-explained in detail.  Called them when had a fall and they were detailed in what to do, followed up, etc.  Luckily, was not serious issue.",2024-10-30,"Coverage was well-explained in detail.  Called them when had a fall and they were detailed in what to do, followed up, etc.  Luckily, was not serious issue.",NEGATIVE
5,Fortunately didn’t have to use this…,Fortunately didn’t have to use this insurance this trip but have in the past. It’s been amazing and I will never travel without it!,2024-11-11,Fortunately didn’t have to use this insurance this trip but have in the past. It’s been amazing and I will never travel without it!,POSITIVE
5,I luckily did not needed to use the…,I luckily did not needed to use the travel insurance . I received great advice when purchasing this insurance ,2024-10-30,I luckily did not needed to use the travel insurance . I received great advice when purchasing this insurance ,NEGATIVE
3,Very unclear phrasing that hides their intent.,"I was disappointed to find that my purchased plan (12/6/24 - 12/20/24) was not listed as PRIMARY PAYOR - even after I specifically requested that it be so AND the individual I was speaking with assured me it was set for PRIMARY COVERAGE.  However, when submitting a claim for a minor doctor's visit, I discovered it was not PRIMARY.  Foolish me for trusting the rep AND for not understanding the phrasing on page 23 that noted ""...you will not pay benefits in excess of the usual and customary ....""  Somehow that phrasing is to indicate to me that you're a secondary payor.  Heaven forbid you guys use plain English and state you'll be a PRIMARY or SECONDARY payor.  ",2024-12-10,"Very unclear phrasing that hides their intent.. I was disappointed to find that my purchased plan (12/6/24 - 12/20/24) was not listed as PRIMARY PAYOR - even after I specifically requested that it be so AND the individual I was speaking with assured me it was set for PRIMARY COVERAGE.  However, when submitting a claim for a minor doctor's visit, I discovered it was not PRIMARY.  Foolish me for trusting the rep AND for not understanding the phrasing on page 23 that noted ""...you will not pay benefits in excess of the usual and customary ....""  Somehow that phrasing is to indicate to me that you're a secondary payor.  Heaven forbid you guys use plain English and state you'll be a PRIMARY or SECONDARY payor.  ",NEGATIVE
5,We contacted the company once and they…,We contacted the company once and they took over from there.  It was such a relief to have their assistance.  The travel nurse was great and made all the arrangements.,2024-11-08,We contacted the company once and they took over from there.  It was such a relief to have their assistance.  The travel nurse was great and made all the arrangements.,POSITIVE
1,Terrible Process,When I finally was notified the claim was approved I was told i would receive instructions from Chase Bank on how to receive the payment.  That never happened.  Then an email came telling me I hadn't responded and threatened that the payment would be cancelled if I didn't respond.  Well it is very difficult to respond if you aren't given any information on how to respond in the first place.  I did the receive the payment after giving bank information.  I hope the information was secure. Why couldn't I just have been sent a check?  It was a very cumbersome process and not very customer friendly.,2024-12-12,Terrible Process. When I finally was notified the claim was approved I was told i would receive instructions from Chase Bank on how to receive the payment.  That never happened.  Then an email came telling me I hadn't responded and threatened that the payment would be cancelled if I didn't respond.  Well it is very difficult to respond if you aren't given any information on how to respond in the first place.  I did the receive the payment after giving bank information.  I hope the information was secure. Why couldn't I just have been sent a check?  It was a very cumbersome process and not very customer friendly.,NEGATIVE
5,Great agents- helpful & knowledgable.,Great agents- helpful & knowledgable. ,2024-11-07,Great agents- helpful & knowledgable. ,POSITIVE
4,Peace of mind,"I purchased our insurance for our cruise. I got sick on our third day of sailing, but I am glad that we don't have to use it. Travel insurance for peace of mind.",2024-11-29,"Peace of mind. I purchased our insurance for our cruise. I got sick on our third day of sailing, but I am glad that we don't have to use it. Travel insurance for peace of mind.",NEGATIVE
5,Although I never had to use the…,"Although I never had to use the insurance I've had neighbors that did, and from what they have told me, I feel safe and secure with the insurance company..",2024-11-20,"Although I never had to use the insurance I've had neighbors that did, and from what they have told me, I feel safe and secure with the insurance company..",NEGATIVE
5,I purchased the insurance with ease…,I purchased the insurance with ease however I did not have to use it so I have nothingbto add.,2024-10-27,I purchased the insurance with ease however I did not have to use it so I have nothingbto add.,NEGATIVE
5,Good trip,"Good trip, good weather and no problems.",2025-01-29,"Good trip, good weather and no problems.",POSITIVE
