rate,Reviews,tokenized_reviews,review_date,Sentiment
1,"Hurricane. got the Ins could not make it because on a Hurricane, I do not fly so i drive from North Tonawanda, NY to Florida, well there was no power, gas roads were out so i could not get there, but if i was to fly no i could not get there they would pay. don't see the different. Iam not done fighting this.","['hurricane', 'got', 'the', 'ins', 'could', 'not', 'make', 'it', 'because', 'on', 'a', 'hurricane', 'i', 'do', 'not', 'fly', 'so', 'i', 'drive', 'from', 'north', 'tonawanda', 'ny', 'to', 'florida', 'well', 'there', 'was', 'no', 'power', 'gas', 'roads', 'were', 'out', 'so', 'i', 'could', 'not', 'get', 'there', 'but', 'if', 'i', 'was', 'to', 'fly', 'no', 'i', 'could', 'not', 'get', 'there', 'they', 'would', 'pay', 'dont', 'see', 'the', 'different', 'iam', 'not', 'done', 'fighting', 'this']",2024-09-26,NEGATIVE
5,As Promised - Our trip was protected!!. Our experience with this company was great. Our trip was canceled because of medical issues with my husband.  We filled out the paperwork that was requested and received our claim within two weeks. ,"['as', 'promised', 'our', 'trip', 'was', 'protected', 'our', 'experience', 'with', 'this', 'company', 'was', 'great', 'our', 'trip', 'was', 'canceled', 'because', 'of', 'medical', 'issues', 'with', 'my', 'husband', 'we', 'filled', 'out', 'the', 'paperwork', 'that', 'was', 'requested', 'and', 'received', 'our', 'claim', 'within', 'two', 'weeks']",2025-02-07,NEGATIVE
1,"Absolutely Useless Travel Insurance – Total Waste of Money! . I purchased travel insurance expecting it to actually help in case of an issue, but my experience proved otherwise. My baggage was delayed, and I had to spend $227 on necessary personal items while waiting for it. When I filed a claim, I was asked to submit a ridiculous amount of documentation—receipts, proof of delay, forms, and more—only to receive an insulting reimbursement of $3!Yes, three dollars after all that effort. The time I wasted preparing and submitting the claim was worth far more than that. What’s the point of buying insurance if it doesn’t actually cover real expenses? They take your money upfront but make the claims process so frustrating and pointless that you might as well not even bother.I will never buy travel insurance from this company again, and I strongly warn others to stay away. This is nothing more than a scam disguised as ""coverage."" Avoid at all costs!","['absolutely', 'useless', 'travel', 'insurance', 'total', 'waste', 'of', 'money', 'i', 'purchased', 'travel', 'insurance', 'expecting', 'it', 'to', 'actually', 'help', 'in', 'case', 'of', 'an', 'issue', 'but', 'my', 'experience', 'proved', 'otherwise', 'my', 'baggage', 'was', 'delayed', 'and', 'i', 'had', 'to', 'spend', '227', 'on', 'necessary', 'personal', 'items', 'while', 'waiting', 'for', 'it', 'when', 'i', 'filed', 'a', 'claim', 'i', 'was', 'asked', 'to', 'submit', 'a', 'ridiculous', 'amount', 'of', 'documentation', 'receipts', 'proof', 'of', 'delay', 'forms', 'and', 'more', 'only', 'to', 'receive', 'an', 'insulting', 'reimbursement', 'of', '3yes', 'three', 'dollars', 'after', 'all', 'that', 'effort', 'the', 'time', 'i', 'wasted', 'preparing', 'and', 'submitting', 'the', 'claim', 'was', 'worth', 'far', 'more', 'than', 'that', 'what', 's', 'the', 'point', 'of', 'buying', 'insurance', 'if', 'it', 'doesn', 't', 'actually', 'cover', 'real', 'expenses', 'they', 'take', 'your', 'money', 'upfront', 'but', 'make', 'the', 'claims', 'process', 'so', 'frustrating', 'and', 'pointless', 'that', 'you', 'might', 'as', 'well', 'not', 'even', 'botheri', 'will', 'never', 'buy', 'travel', 'insurance', 'from', 'this', 'company', 'again', 'and', 'i', 'strongly', 'warn', 'others', 'to', 'stay', 'away', 'this', 'is', 'nothing', 'more', 'than', 'a', 'scam', 'disguised', 'as', 'coverage', 'avoid', 'at', 'all', 'costs']",2025-02-12,NEGATIVE
5,The customer service was great all around.,"['the', 'customer', 'service', 'was', 'great', 'all', 'around']",2025-02-04,POSITIVE
5,"PROFESSIONAL *** EFFICIENT *** VERY VERY FASTNo RED TAPE - just do your due diligence and summit ALL papers they require in a timely matter. Can't speak about the service of a health claim.  My claim was a cancellation, I couldn't ask for better service.","['professional', 'efficient', 'very', 'very', 'fastno', 'red', 'tape', 'just', 'do', 'your', 'due', 'diligence', 'and', 'summit', 'all', 'papers', 'they', 'require', 'in', 'a', 'timely', 'matter', 'cant', 'speak', 'about', 'the', 'service', 'of', 'a', 'health', 'claim', 'my', 'claim', 'was', 'a', 'cancellation', 'i', 'couldnt', 'ask', 'for', 'better', 'service']",2025-01-30,NEGATIVE
5,I have used this company before on previous trips. Just knowing that I am covered should I need assistance while overseas makes my trips more pleasurable.,"['i', 'have', 'used', 'this', 'company', 'before', 'on', 'previous', 'trips', 'just', 'knowing', 'that', 'i', 'am', 'covered', 'should', 'i', 'need', 'assistance', 'while', 'overseas', 'makes', 'my', 'trips', 'more', 'pleasurable']",2024-12-21,NEGATIVE
5,The staff member with whom I spoke was very knowledgeable. He resolved my problem. ,"['the', 'staff', 'member', 'with', 'whom', 'i', 'spoke', 'was', 'very', 'knowledgeable', 'he', 'resolved', 'my', 'problem']",2025-01-29,POSITIVE
5,"Good product at reasonable price. Everything was explained in detail, price point was good. Luckily didn’t need the service ","['good', 'product', 'at', 'reasonable', 'price', 'everything', 'was', 'explained', 'in', 'detail', 'price', 'point', 'was', 'good', 'luckily', 'didn', 't', 'need', 'the', 'service']",2024-10-28,POSITIVE
4,Travel insurance for Vietnam tour. I had to buy travel insurance to go on a NatGeo tour of Vietnam. I never had to use it but it gave me peace of mind knowing I had it. The policy was easy to set up and the representative I spoke with on the phone was friendly and helpful. ,"['travel', 'insurance', 'for', 'vietnam', 'tour', 'i', 'had', 'to', 'buy', 'travel', 'insurance', 'to', 'go', 'on', 'a', 'natgeo', 'tour', 'of', 'vietnam', 'i', 'never', 'had', 'to', 'use', 'it', 'but', 'it', 'gave', 'me', 'peace', 'of', 'mind', 'knowing', 'i', 'had', 'it', 'the', 'policy', 'was', 'easy', 'to', 'set', 'up', 'and', 'the', 'representative', 'i', 'spoke', 'with', 'on', 'the', 'phone', 'was', 'friendly', 'and', 'helpful']",2024-12-19,POSITIVE
5,We always hoped we would never need to use it but very thankful we had it when we had to leave our cruise early because of unexpected death in family. . Our travel agent did most of the uploading of documents for us. I would say the communication between Travel Insured and her and us was very good. ,"['we', 'always', 'hoped', 'we', 'would', 'never', 'need', 'to', 'use', 'it', 'but', 'very', 'thankful', 'we', 'had', 'it', 'when', 'we', 'had', 'to', 'leave', 'our', 'cruise', 'early', 'because', 'of', 'unexpected', 'death', 'in', 'family', 'our', 'travel', 'agent', 'did', 'most', 'of', 'the', 'uploading', 'of', 'documents', 'for', 'us', 'i', 'would', 'say', 'the', 'communication', 'between', 'travel', 'insured', 'and', 'her', 'and', 'us', 'was', 'very', 'good']",2024-11-01,POSITIVE
1,"Doesn't cover missed connection because of missing luggage through customs checkpoint.. I have purchased Travel Insurance with TravelInsured for many years and travel 3 to 5 times a year, but going forward, I will look elsewhere for coverage.I was on a flight home that had two stopovers.  Apparently my baggage was not transferred between flight #1 and #2.   When I arrived internationally at LAX, I was delayed waiting for my luggage to appear so that I could take it through customs.  My luggage was not there, and as a result I missed my connecting flight and was booked on another flight about 20 hrs later.   After a 15 hour flight from Singapore, I called the customer service and was told I had a $200 limit, so I booked a hotel room.  Oh well, because I missed my connection not because of a flight delay, my claim was denied.   Since my luggage was found 6 hrs later, and then put on my same rebooked flight, there was no delay.   Trip interruption is only paid on a flight delay, not a luggage delay.   Having this insurance is worthless.","['doesnt', 'cover', 'missed', 'connection', 'because', 'of', 'missing', 'luggage', 'through', 'customs', 'checkpoint', 'i', 'have', 'purchased', 'travel', 'insurance', 'with', 'travelinsured', 'for', 'many', 'years', 'and', 'travel', '3', 'to', '5', 'times', 'a', 'year', 'but', 'going', 'forward', 'i', 'will', 'look', 'elsewhere', 'for', 'coveragei', 'was', 'on', 'a', 'flight', 'home', 'that', 'had', 'two', 'stopovers', 'apparently', 'my', 'baggage', 'was', 'not', 'transferred', 'between', 'flight', '1', 'and', '2', 'when', 'i', 'arrived', 'internationally', 'at', 'lax', 'i', 'was', 'delayed', 'waiting', 'for', 'my', 'luggage', 'to', 'appear', 'so', 'that', 'i', 'could', 'take', 'it', 'through', 'customs', 'my', 'luggage', 'was', 'not', 'there', 'and', 'as', 'a', 'result', 'i', 'missed', 'my', 'connecting', 'flight', 'and', 'was', 'booked', 'on', 'another', 'flight', 'about', '20', 'hrs', 'later', 'after', 'a', '15', 'hour', 'flight', 'from', 'singapore', 'i', 'called', 'the', 'customer', 'service', 'and', 'was', 'told', 'i', 'had', 'a', '200', 'limit', 'so', 'i', 'booked', 'a', 'hotel', 'room', 'oh', 'well', 'because', 'i', 'missed', 'my', 'connection', 'not', 'because', 'of', 'a', 'flight', 'delay', 'my', 'claim', 'was', 'denied', 'since', 'my', 'luggage', 'was', 'found', '6', 'hrs', 'later', 'and', 'then', 'put', 'on', 'my', 'same', 'rebooked', 'flight', 'there', 'was', 'no', 'delay', 'trip', 'interruption', 'is', 'only', 'paid', 'on', 'a', 'flight', 'delay', 'not', 'a', 'luggage', 'delay', 'having', 'this', 'insurance', 'is', 'worthless']",2025-01-17,NEGATIVE
1,I can’t log in to my acct to make changes and when I could it was showing no plans that I had purchased. The online experience has been frustrating. ,"['i', 'can', 't', 'log', 'in', 'to', 'my', 'acct', 'to', 'make', 'changes', 'and', 'when', 'i', 'could', 'it', 'was', 'showing', 'no', 'plans', 'that', 'i', 'had', 'purchased', 'the', 'online', 'experience', 'has', 'been', 'frustrating']",2025-02-03,NEGATIVE
5,Did not need to use the insurance thankfully so no problems ,"['did', 'not', 'need', 'to', 'use', 'the', 'insurance', 'thankfully', 'so', 'no', 'problems']",2024-11-26,NEGATIVE
5,Pleased with travelers . We’ve only had to talk to someone on the phone. Everyone we have talked with has been very pleasant and helpful. ,"['pleased', 'with', 'travelers', 'we', 've', 'only', 'had', 'to', 'talk', 'to', 'someone', 'on', 'the', 'phone', 'everyone', 'we', 'have', 'talked', 'with', 'has', 'been', 'very', 'pleasant', 'and', 'helpful']",2025-02-05,POSITIVE
4,"I’ve used this insurance for quite a few trips . they’ve been great , provided peace of mind for me . However , I bought a pair of sunglasses right before the trip   for the trip , they were either stolen or lost , I put a claim in and I’m waiting for further communication. Otherwise , they’ve been great , and When I made my claim, they were very helpful & supportive.","['i', 've', 'used', 'this', 'insurance', 'for', 'quite', 'a', 'few', 'trips', 'they', 've', 'been', 'great', 'provided', 'peace', 'of', 'mind', 'for', 'me', 'however', 'i', 'bought', 'a', 'pair', 'of', 'sunglasses', 'right', 'before', 'the', 'trip', 'for', 'the', 'trip', 'they', 'were', 'either', 'stolen', 'or', 'lost', 'i', 'put', 'a', 'claim', 'in', 'and', 'i', 'm', 'waiting', 'for', 'further', 'communication', 'otherwise', 'they', 've', 'been', 'great', 'and', 'when', 'i', 'made', 'my', 'claim', 'they', 'were', 'very', 'helpful', 'supportive']",2024-12-25,POSITIVE
5,It was an insurance product and the 2nd time I have used your company when traveling to Europe.  I did not have to exercise the use of this insurance which is a blessing but knowing that I had your insurance in case of an emergency took a bit of stress away from me and my wife.,"['it', 'was', 'an', 'insurance', 'product', 'and', 'the', '2nd', 'time', 'i', 'have', 'used', 'your', 'company', 'when', 'traveling', 'to', 'europe', 'i', 'did', 'not', 'have', 'to', 'exercise', 'the', 'use', 'of', 'this', 'insurance', 'which', 'is', 'a', 'blessing', 'but', 'knowing', 'that', 'i', 'had', 'your', 'insurance', 'in', 'case', 'of', 'an', 'emergency', 'took', 'a', 'bit', 'of', 'stress', 'away', 'from', 'me', 'and', 'my', 'wife']",2024-12-05,NEGATIVE
2,I’ve talked to three different representatives and provided them the information they needed.  They advised me that someone in a higher department would contact me. No one has called. This is NOT good customer service. I’ve provided 25 pages of documentation and walked your representative through the appropriate pages,"['i', 've', 'talked', 'to', 'three', 'different', 'representatives', 'and', 'provided', 'them', 'the', 'information', 'they', 'needed', 'they', 'advised', 'me', 'that', 'someone', 'in', 'a', 'higher', 'department', 'would', 'contact', 'me', 'no', 'one', 'has', 'called', 'this', 'is', 'not', 'good', 'customer', 'service', 'i', 've', 'provided', '25', 'pages', 'of', 'documentation', 'and', 'walked', 'your', 'representative', 'through', 'the', 'appropriate', 'pages']",2025-01-28,NEGATIVE
5,"no problems.  thank God we didn't need it, but our travel partner did and they returned her money promptly","['no', 'problems', 'thank', 'god', 'we', 'didnt', 'need', 'it', 'but', 'our', 'travel', 'partner', 'did', 'and', 'they', 'returned', 'her', 'money', 'promptly']",2024-11-09,NEGATIVE
1,"My claim has still not been finalized dragging their feet.. I sent in a claim from Doctors etc.,  I have still not received finalization from them or a return of monieswhich I paid for for my medical bills.Please check the matter and reimburse.Taking a very long time to finalize matter.Please co operate with me.","['my', 'claim', 'has', 'still', 'not', 'been', 'finalized', 'dragging', 'their', 'feet', 'i', 'sent', 'in', 'a', 'claim', 'from', 'doctors', 'etc', 'i', 'have', 'still', 'not', 'received', 'finalization', 'from', 'them', 'or', 'a', 'return', 'of', 'monieswhich', 'i', 'paid', 'for', 'for', 'my', 'medical', 'billsplease', 'check', 'the', 'matter', 'and', 'reimbursetaking', 'a', 'very', 'long', 'time', 'to', 'finalize', 'matterplease', 'co', 'operate', 'with', 'me']",2024-11-13,NEGATIVE
5,"Great experience. I utilized travel insurance through your company and won't hesitate to recommend or use your services again.  I ended up having to use the medical concierge service as well as the reimbursement process due to illness and items being stolen during my trip.  It was very stressful, but big shout out to the agents that helped me get a medical appointment, and then quickly worked with me when the dr didn't show and I had to reschedule again.  The website claim process is not as user friendly as it could be, but once I got everything uploaded it was processed quickly and I had my claims payment in my hand four weeks later.  I won't hesitate to use again for the peace of mind.  Yri and Amy were great to work with!","['great', 'experience', 'i', 'utilized', 'travel', 'insurance', 'through', 'your', 'company', 'and', 'wont', 'hesitate', 'to', 'recommend', 'or', 'use', 'your', 'services', 'again', 'i', 'ended', 'up', 'having', 'to', 'use', 'the', 'medical', 'concierge', 'service', 'as', 'well', 'as', 'the', 'reimbursement', 'process', 'due', 'to', 'illness', 'and', 'items', 'being', 'stolen', 'during', 'my', 'trip', 'it', 'was', 'very', 'stressful', 'but', 'big', 'shout', 'out', 'to', 'the', 'agents', 'that', 'helped', 'me', 'get', 'a', 'medical', 'appointment', 'and', 'then', 'quickly', 'worked', 'with', 'me', 'when', 'the', 'dr', 'didnt', 'show', 'and', 'i', 'had', 'to', 'reschedule', 'again', 'the', 'website', 'claim', 'process', 'is', 'not', 'as', 'user', 'friendly', 'as', 'it', 'could', 'be', 'but', 'once', 'i', 'got', 'everything', 'uploaded', 'it', 'was', 'processed', 'quickly', 'and', 'i', 'had', 'my', 'claims', 'payment', 'in', 'my', 'hand', 'four', 'weeks', 'later', 'i', 'wont', 'hesitate', 'to', 'use', 'again', 'for', 'the', 'peace', 'of', 'mind', 'yri', 'and', 'amy', 'were', 'great', 'to', 'work', 'with']",2024-10-27,POSITIVE
5,"Ease of purchasing. Registration and purchase was easy. Fortunately I didn't have to use my policy, but I'll likely be a repeat customer when I have the opportunity to travel internationally.","['ease', 'of', 'purchasing', 'registration', 'and', 'purchase', 'was', 'easy', 'fortunately', 'i', 'didnt', 'have', 'to', 'use', 'my', 'policy', 'but', 'ill', 'likely', 'be', 'a', 'repeat', 'customer', 'when', 'i', 'have', 'the', 'opportunity', 'to', 'travel', 'internationally']",2024-10-30,NEGATIVE
5,"Easy to use website that transitions from USAA, our insurance carrier that partners with your company. And, I had a question about my wires, sent in an email, and it was answered promptly z ","['easy', 'to', 'use', 'website', 'that', 'transitions', 'from', 'usaa', 'our', 'insurance', 'carrier', 'that', 'partners', 'with', 'your', 'company', 'and', 'i', 'had', 'a', 'question', 'about', 'my', 'wires', 'sent', 'in', 'an', 'email', 'and', 'it', 'was', 'answered', 'promptly', 'z']",2024-11-18,NEGATIVE
5,"Travel Insurance Policy. Purchasing this policy gave me several options to compare quickly and thoroughly.  Fortunately, I didn't need to make a claim and would use this service again.","['travel', 'insurance', 'policy', 'purchasing', 'this', 'policy', 'gave', 'me', 'several', 'options', 'to', 'compare', 'quickly', 'and', 'thoroughly', 'fortunately', 'i', 'didnt', 'need', 'to', 'make', 'a', 'claim', 'and', 'would', 'use', 'this', 'service', 'again']",2024-10-28,NEGATIVE
5,It's always a pleasure to deal with Dan Drennan in buying travel insurance.,"['its', 'always', 'a', 'pleasure', 'to', 'deal', 'with', 'dan', 'drennan', 'in', 'buying', 'travel', 'insurance']",2024-11-12,POSITIVE
5,The claims process was straightforward and we were reimbursed promptly. ,"['the', 'claims', 'process', 'was', 'straightforward', 'and', 'we', 'were', 'reimbursed', 'promptly']",2024-11-25,NEGATIVE
5,The process was smooth. I called answered a few questions and was quoted a policy. Honestly when I travel I do ask others about their travel insurance and I am extremely grateful to have travel insured as my insurance company. Thank you,"['the', 'process', 'was', 'smooth', 'i', 'called', 'answered', 'a', 'few', 'questions', 'and', 'was', 'quoted', 'a', 'policy', 'honestly', 'when', 'i', 'travel', 'i', 'do', 'ask', 'others', 'about', 'their', 'travel', 'insurance', 'and', 'i', 'am', 'extremely', 'grateful', 'to', 'have', 'travel', 'insured', 'as', 'my', 'insurance', 'company', 'thank', 'you']",2024-12-13,POSITIVE
5,"Timely completion of the Insurance increase....on a side note, not real fond of having to add, in the notes section, to also increase the coverage for the companion traveler","['timely', 'completion', 'of', 'the', 'insurance', 'increaseon', 'a', 'side', 'note', 'not', 'real', 'fond', 'of', 'having', 'to', 'add', 'in', 'the', 'notes', 'section', 'to', 'also', 'increase', 'the', 'coverage', 'for', 'the', 'companion', 'traveler']",2024-11-25,POSITIVE
5,Excellent service. Would definitely use again. Took care of everything for me when I was injured on vacation. ,"['excellent', 'service', 'would', 'definitely', 'use', 'again', 'took', 'care', 'of', 'everything', 'for', 'me', 'when', 'i', 'was', 'injured', 'on', 'vacation']",2024-11-11,POSITIVE
5,good service.  you have some really good people working for you,"['good', 'service', 'you', 'have', 'some', 'really', 'good', 'people', 'working', 'for', 'you']",2025-02-06,POSITIVE
5,Seamless easy to subscribe service. Good services for the cost. ,"['seamless', 'easy', 'to', 'subscribe', 'service', 'good', 'services', 'for', 'the', 'cost']",2024-11-22,POSITIVE
5,"Coverage in the Third World . That it was a great trip without incident, and I had the policy in place in case anything went wrong. ","['coverage', 'in', 'the', 'third', 'world', 'that', 'it', 'was', 'a', 'great', 'trip', 'without', 'incident', 'and', 'i', 'had', 'the', 'policy', 'in', 'place', 'in', 'case', 'anything', 'went', 'wrong']",2024-10-25,NEGATIVE
5,Obtaining coverage was quick and easy.  A quick phone call was all it took.We have used Travel Insured Intl twice this year and thankfully did not need to use the coverage but was at ease knowing it was available.We have referred friends to Travel Insured.,"['obtaining', 'coverage', 'was', 'quick', 'and', 'easy', 'a', 'quick', 'phone', 'call', 'was', 'all', 'it', 'tookwe', 'have', 'used', 'travel', 'insured', 'intl', 'twice', 'this', 'year', 'and', 'thankfully', 'did', 'not', 'need', 'to', 'use', 'the', 'coverage', 'but', 'was', 'at', 'ease', 'knowing', 'it', 'was', 'availablewe', 'have', 'referred', 'friends', 'to', 'travel', 'insured']",2024-11-25,NEGATIVE
5,"They have a great policy from the insurance companies ,it was  very helpful to me ,i will recommend that travel company any time to my friends. Good job ","['they', 'have', 'a', 'great', 'policy', 'from', 'the', 'insurance', 'companies', 'it', 'was', 'very', 'helpful', 'to', 'me', 'i', 'will', 'recommend', 'that', 'travel', 'company', 'any', 'time', 'to', 'my', 'friends', 'good', 'job']",2024-11-22,POSITIVE
1,"I purchased insurance with this company, I won do it again, since I had to use it because I had to interrupt my trip due to illness and they denied my case claiming that this type of illness was not covered. Be very careful with this company since they do not covers all diseases. You are just wasting your money!!!","['i', 'purchased', 'insurance', 'with', 'this', 'company', 'i', 'won', 'do', 'it', 'again', 'since', 'i', 'had', 'to', 'use', 'it', 'because', 'i', 'had', 'to', 'interrupt', 'my', 'trip', 'due', 'to', 'illness', 'and', 'they', 'denied', 'my', 'case', 'claiming', 'that', 'this', 'type', 'of', 'illness', 'was', 'not', 'covered', 'be', 'very', 'careful', 'with', 'this', 'company', 'since', 'they', 'do', 'not', 'covers', 'all', 'diseases', 'you', 'are', 'just', 'wasting', 'your', 'money']",2024-11-27,NEGATIVE
5,"Security for a great price. Never used your service but, it's great to have the comfort and security your company offers in case your services are needed!  I will never travel without travel insurance.  You never know if something happens and the peace of mind your company offers is worth its weight in gold.","['security', 'for', 'a', 'great', 'price', 'never', 'used', 'your', 'service', 'but', 'its', 'great', 'to', 'have', 'the', 'comfort', 'and', 'security', 'your', 'company', 'offers', 'in', 'case', 'your', 'services', 'are', 'needed', 'i', 'will', 'never', 'travel', 'without', 'travel', 'insurance', 'you', 'never', 'know', 'if', 'something', 'happens', 'and', 'the', 'peace', 'of', 'mind', 'your', 'company', 'offers', 'is', 'worth', 'its', 'weight', 'in', 'gold']",2024-11-02,NEGATIVE
5,Simple and easy to apply for and purchase.Just enter the travel dates and total cost of trip. The options for policies are immediately available. Pick your choice and download immediately after purchase.,"['simple', 'and', 'easy', 'to', 'apply', 'for', 'and', 'purchasejust', 'enter', 'the', 'travel', 'dates', 'and', 'total', 'cost', 'of', 'trip', 'the', 'options', 'for', 'policies', 'are', 'immediately', 'available', 'pick', 'your', 'choice', 'and', 'download', 'immediately', 'after', 'purchase']",2024-12-04,NEGATIVE
1,Still going through all the red tape you put us through. They have to go through our regular insurance company the process and they have to give us a rejected claim and then you all will deal with it. That sucks,"['still', 'going', 'through', 'all', 'the', 'red', 'tape', 'you', 'put', 'us', 'through', 'they', 'have', 'to', 'go', 'through', 'our', 'regular', 'insurance', 'company', 'the', 'process', 'and', 'they', 'have', 'to', 'give', 'us', 'a', 'rejected', 'claim', 'and', 'then', 'you', 'all', 'will', 'deal', 'with', 'it', 'that', 'sucks']",2024-11-17,NEGATIVE
5,Excellent Choice for Travel. Prompt response. The best available insurance for an economical cost.  Always friendly and helpful.  I have been using Travel Insured International for years for my travel.  I would not even consider another agency.,"['excellent', 'choice', 'for', 'travel', 'prompt', 'response', 'the', 'best', 'available', 'insurance', 'for', 'an', 'economical', 'cost', 'always', 'friendly', 'and', 'helpful', 'i', 'have', 'been', 'using', 'travel', 'insured', 'international', 'for', 'years', 'for', 'my', 'travel', 'i', 'would', 'not', 'even', 'consider', 'another', 'agency']",2024-11-26,POSITIVE
5,My flight was delayed for a day due to fog at destination and I had to get a hotel. I filed a claim on line for reimbursement. Ot was super easy and fast! I will definitely use them again for all my travel.,"['my', 'flight', 'was', 'delayed', 'for', 'a', 'day', 'due', 'to', 'fog', 'at', 'destination', 'and', 'i', 'had', 'to', 'get', 'a', 'hotel', 'i', 'filed', 'a', 'claim', 'on', 'line', 'for', 'reimbursement', 'ot', 'was', 'super', 'easy', 'and', 'fast', 'i', 'will', 'definitely', 'use', 'them', 'again', 'for', 'all', 'my', 'travel']",2024-12-16,NEGATIVE
